CruiseDate,Depth,Lat,Lon,Species,NumberOfIndividuals,TotalWeight,Commercial,Season
4/24/2013,70,31.822,34.47751667,Citharus linguatula,2,9,NonCommercial,spring
4/24/2013,70,31.822,34.47751667,Leiognathus klunzingeri,14,55,NonCommercial,spring
4/24/2013,70,31.822,34.47751667,Apogon fasciatus,47,314,NonCommercial,spring
4/24/2013,100,31.72368333,34.35985,Pagellus erythrinus,111,4370,Commercial,spring
4/24/2013,100,31.72368333,34.35985,Nemipterus randalli,1,88,Commercial,spring
4/24/2013,100,31.72368333,34.35985,Macrorhamphosus scolopax,502,760,NonCommercial,spring
4/24/2013,100,31.72368333,34.35985,Dentex maroccanus,357,10126,Commercial,spring
4/24/2013,100,31.72368333,34.35985,Dentex macrophthalmus,2,50,Commercial,spring
4/24/2013,100,31.72368333,34.35985,Upeneus moluccensis,181,3569,Commercial,spring
4/24/2013,100,31.72368333,34.35985,Raja clavata,5,7210,NonCommercial,spring
4/24/2013,100,31.72368333,34.35985,Mullus barbatus,11,996,Commercial,spring
4/24/2013,100,31.72368333,34.35985,Boops boops,27,441,Commercial,spring
4/24/2013,100,31.72368333,34.35985,Trachurus trachurus,10,18,Commercial,spring
4/24/2013,100,31.72368333,34.35985,Zeus faber,1,2,NonCommercial,spring
4/24/2013,100,31.72368333,34.35985,Serranus hepatus,21,122,NonCommercial,spring
4/24/2013,100,31.72368333,34.35985,Conger conger,1,122,NonCommercial,spring
4/24/2013,100,31.72368333,34.35985,Serranus cabrilla,2,53,NonCommercial,spring
4/24/2013,100,31.72368333,34.35985,Saurida undosquamis,3,34,Commercial,spring
4/24/2013,100,31.72368333,34.35985,Leiognathus klunzingeri,1,3,NonCommercial,spring
4/24/2013,100,31.72368333,34.35985,Spicara smaris,4,34,Commercial,spring
4/24/2013,100,31.72368333,34.35985,Spicara maena,12,192,Commercial,spring
4/24/2013,100,31.72368333,34.35985,Citharus linguatula,12,190,NonCommercial,spring
4/24/2013,100,31.72368333,34.35985,Merluccius merluccius,1,195,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Boops boops,36,435,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Lithognathus mormyrus,3,48,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Leiognathus klunzingeri,9,48,NonCommercial,spring
4/28/2013,15,31.79771667,34.6172,Bothus podas,5,41,NonCommercial,spring
4/28/2013,15,31.79771667,34.6172,Trachurus mediterraneus,5,60,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Pagellus erythrinus,4,171,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Pagellus acarne,28,62,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Balistes carolinensis,19,4180,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Pagrus caeruleostictus,716,12782,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Sardinella aurita,4,82,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Echeneis naucrates,1,253,NonCommercial,spring
4/28/2013,15,31.79771667,34.6172,Alepes djedaba,1,107,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Platycephalus indicus,1,177,NonCommercial,spring
4/28/2013,15,31.79771667,34.6172,Upeneus pori,79,834,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Spicara maena,7,117,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Spicara smaris,7,46,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Plotosus lineatus,1,11,NonCommercial,spring
4/28/2013,15,31.79771667,34.6172,Torquigener flavimaculosus,1,8,NonCommercial,spring
4/28/2013,15,31.79771667,34.6172,Lagocephalus spadiceus,1,101,NonCommercial,spring
4/28/2013,15,31.79771667,34.6172,Decapterus russelli,307,22896,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Trachurus trachurus,4,16,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Diplodus vulgaris,1,44,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Lithognathus mormyrus,3,79,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Pagrus pagrus,1,5,Commercial,spring
4/28/2013,15,31.79771667,34.6172,Saurida undosquamis,1,24,Commercial,spring
4/28/2013,40,31.70973333,34.46486667,Saurida undosquamis,26,1290,Commercial,spring
4/28/2013,40,31.70973333,34.46486667,Boops boops,2,79,Commercial,spring
4/28/2013,40,31.70973333,34.46486667,Stephanolepis diaspros,1,63,NonCommercial,spring
4/28/2013,40,31.70973333,34.46486667,Serranus hepatus,3,35,NonCommercial,spring
4/28/2013,40,31.70973333,34.46486667,Apogon fasciatus,2,21,NonCommercial,spring
4/28/2013,40,31.70973333,34.46486667,Upeneus moluccensis,19,244,Commercial,spring
4/28/2013,40,31.70973333,34.46486667,Nemipterus randalli,44,3340,Commercial,spring
4/28/2013,40,31.70973333,34.46486667,Bothus podas,1,13,NonCommercial,spring
4/28/2013,40,31.70973333,34.46486667,Lepidotrigla cavillone,4,54,NonCommercial,spring
4/28/2013,40,31.70973333,34.46486667,Citharus linguatula,1,8,NonCommercial,spring
4/28/2013,40,31.70973333,34.46486667,Decapterus russelli,2,157,Commercial,spring
4/28/2013,40,31.70973333,34.46486667,Spicara smaris,6,41,Commercial,spring
4/28/2013,40,31.70973333,34.46486667,Sardinella aurita,50,2000,Commercial,spring
4/28/2013,40,31.70973333,34.46486667,Raja clavata,1,2010,NonCommercial,spring
